# This file is generated on 26-Aug-2022 at 15:50:58 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, 1.1631e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.9000e+01, 1.1522e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-03, 1.1503e+02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.0000e-03, 1.0161e+02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.0000e-03, 8.2458e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.0000e-03, 7.2677e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 6.8150e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 5.8989e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 4.9562e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 4.1297e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 3.3700e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 2.7252e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 2.2149e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.7664e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.3791e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 1.1087e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 8.3495e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 6.2843e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 4.7553e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 3.6176e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 2.8906e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 2.1075e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.5031e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 1.2677e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.5000e+01, 1.0701e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.2000e+01, 9.9503e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, 9.5502e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.9000e+01, 9.4367e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-03, 1.0710e+02
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.0000e-03, 9.4336e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.0000e-03, 7.6254e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.0000e-03, 6.7061e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 6.2815e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 5.4239e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 4.5437e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 3.7739e+01
